content,value
"NEW DELHI: TheRajasthangovernment on Saturday issued an order for conducting acaste surveyin the stateAccording to the order issued by the Department of Social Justice and Empowerment, the Rajasthan government will conduct the survey with its own resources for collecting information and figures related to social, economic and educational level of all its citizensRajasthan chief minister Ashok Gehlot had earlier announced that the state will conduct a caste-based censusThe Bihar government had also conducted a similar exercise recentlyBihar caste survey data spurs demands from other states""Similar to thecastecensus in Bihar, we will conduct a caste census in RajasthanWe'll implement the concept where reservation allocation will be based on caste-wise participation,"" Ashok Gehlot had saidThe report of the caste-based survey conducted in Bihar was released on October 2 by the Nitish Kumar-led Mahagathbandhan governmentThe Congress is an ally of the government in BiharA nationwide caste census is a key agenda of the opposition INDIA bloc, which believes it will help the alliance in the forthcoming elections in the Hindi heartland where caste politics plays a key roleThe 2023 Rajasthan assembly election is expected to be held in or before December this yearEarlier in Chhattisgarh, Congress general secretary Priyanka Gandhi Vadra on Friday asserted if Congress is re-elected to power in the state, a caste census will be conducted in the state""I announce that if Congress repeats government in Chhattisgarh, then like Bihar, we will also hold caste census in the state,"" Priyanka Gandhi Vadra said at a public event in poll-bound Chhattisgarh's KankerThe Bihar government released caste survey data showing that the Other Backward Class (OBC) and Extremely Backward Class (EBC) together account for 63 per cent of the state's population",1
"HERAT: The death toll from a magnitude 63earthquakein westernAfghanistanon Saturday has risen to ""about 120"", disaster relief authorities said, with more than 1,000 others being treated for injuriesThe United States Geological Survey said the epicentre was 40 kilometres (25 miles) northwest of the region's largest city Herat, and was followed by eight aftershocks with magnitudes between 43 and 63""So far, more than 1,000 injured women, children, and old citizens have been included in our records, and about 120 people have lost their lives,"" Herat province disaster management head Mosa Ashari told AFPCrowds of residents fled buildings in Herat at around 11:00 am (0630 GMT) as the quakes began""We were in our offices and suddenly the building started shaking,"" 45-year-old resident Bashir Ahmad told AFP""Wall plasters started to fall down and the walls got cracks, some walls and parts of the building collapsed,"" he said""I am not able to contact my family, network connections are disconnectedI am too worried and scared, it was horrifying""Men, women and children stood out in the wide streets, away from tall buildings, in the moments after the first quake and remained wary of returning to their homes as aftershocks rumbled for hours""The situation was very horrible, I have never experienced such a thing,"" said 21-year-old student Idrees Arsala, the last to safely evacuate his classroom as the quakes beganEarly on Saturday evening, disaster management authority spokesman Mullah Jan Sayeq told AFP that the number of fatalities was expected ""to rise very high""""There are some areas that are totally collapsed and all the houses are damaged,"" he said""People are still buried under the rubbleThe aid agencies are trying to reach the area""Hundreds of fatalities were possible, according to a USGS preliminary estimate""Significant casualties are likely and the disaster is potentially widespreadPast events with this alert level have required a regional or national level response,"" it saidThe USGS had earlier reported the first quake's magnitude as 62It had a shallow depth of just 14 kilometres, it saidHerat -- 120 kilometres east of the border with Iran -- is considered the cultural capital of AfghanistanIt is the capital of Herat province, which is home to an estimated population of 19 million, according to 2019 World Bank dataAfghanistan is frequently hit by earthquakes, especially in the Hindu Kush mountain range, which lies near the junction of the Eurasian and Indian tectonic platesIn June last year, more than 1,000 people were killed and tens of thousands left homeless after a 59-magnitude quake -- the deadliest in Afghanistan in nearly a quarter of a century -- struck the impoverished province of PaktikaIn March of this year, 13 people were killed in Afghanistan and Pakistan by a magnitude 65 quake, which hit near Jurm in northeastern AfghanistanAfghanistan is already in the grip of a grinding humanitarian crisis, following the widespread withdrawal of foreign aid since the Taliban returned to power in 2021",1
"NEW DELHI:Aiden Markram,Rassie van der DussenandQuinton de Kocksmoked sensational centuries as South Africa rewrote record books on their way to a commanding 102-run victory over Sri Lanka in the national capital on SaturdayRiding on the triple tons, the Proteas posted the highest-ever World Cup total of 428 for five -- bettering the previous best of 417 made by Australia against Afghanistan at Perth in 2015Markram, who hit a 49-ball century, recorded the fastest-ever ton in anODI World Cupas he pulverised the Lankan bowling attack after a record van der Dussen and de Kock 204-run standChasing an improbable total, the Lankans did give a brave fight, courtesy a fiery Kusal Mendis 42-ball 76 and Charith Asalanka and Dasun Shanaka fifties but the 1996 champions crumbled under the scoreboard pressure and folded for 326 in the 45th overHere's a look at the key moments of the record-shattering South Africa-Sri Lanka epic contest at the Arun Jaitley StadiumEarly Bavuma blow and a phenomenal second-wicket partnershipAs skipper Dasun Shanaka won the toss and opted to bowl, Dilshan Madushanka provided early success, removing Temba Bavuma for 8 in the second overRassie van der Dussen then joined hands with Quinton de Kock as the duo helped the Proteas recover after the early blowAs both steadied the ship, van der Dussen raised his fifty in the 18th over and the two brought up the 100-run partnership in the next as Proteas got to 118 in 20 oversThen as soon as De Kock raised his fifty, both put pedal on the accelerator and started to go after the Lankan bowlersEven before van der Dussen and De Kock went into all-attack mode, the run rate was hovering around 6 RPO for South Africa but the attack that followed, shook the Lankans completelyAs both went berserk, it was a race of who was getting to his century firstDe Kock eventually pipped his partner to the hundred, scoring it off just 83 balls in the 31st over as the 200-partnership came along -- fourth highest ever partnership for any wicket for South Africa in the World CupMatheesha Pathirana finally put an end to De Kock's onslaught, removing him the very next ball after his tonMarkram's record tonSoon after De Kock's dismissal, Aiden Markram marked his arrival with two cracking straight drives for four off Dilshan MadushankaAs van der Dussen got to his ton in the 35th over, by that time, Markram had got his eyes in and had started to hit the Lankan bowlers left, right and centreIn the following over South Africa raised their 250 and looked on course for a massive totalHowever, Dunith Wellalage got rid of van der Dussen for 108, providing some relief to the LankansBut despite the fall of centurion van der Dussen, Markram continued with his assault alongside in-form Heinrich Klaasen as the Lankans were found wanting for answersSmashing his ton off just 49 balls, Markram broke the record set by Ireland's Kevin O'Brien (50 balls for 100) set in the 2011 editionMarkram gave the Lankans no respite as he and Heinrich Klaasen (32) took the Proteas past the 350 mark in the 44th over, adding another 78 runs for the fourth wicketMarkram's century featured 14 fours and three sixesBefore eventually getting dismissed for 106 in the 48th over, Markram had made sure that his side were going past the 400-run mark with easeDavid Miller then cracked 39 runs off 21 balls with two sixes in the final overs and added 45 off just 18 balls along with Marco Jansen powering Proteas to a record totalRecords made/broken/re-written during South Africa's sensational display with the batSouth Africa piled up highest total in ODI World Cup - 428Aiden Markram smashed the fastest World Cup century off just 49 ballsAll three South African centurions — De Kock, Van der Dussen and Markram — recorded their maiden World Cup hundredsHighest partnership forSouth Africa vs Sri Lanka(any wicket) - 204 (de Kock & van der Dussen)Fourth highest partnership for South Africa in ODI World Cup - 204 (de Kock & van der Dussen)Highest score of Quinton de Kock (100) in ICC eventsR van der Dussen (108) became the second oldest to score a hundred for South Africa (after Faf du Plessis) in World CupMarkram scored the third fastest ODI century for South Africa after Ab de Villiers (31 balls) and Mark Boucher (44 balls)South Africa registered their fourth highest team totals in ODIs - 439/2 vs West Indies 2015 | 438/9 vs Australia 2006 | 438/4 vs India 2015 | 428/5 vs Sri Lanka 2023*South Africa have most 400-plus team totals in ODIs - 8Early blow in record chase and Mendis fireworks!Sri Lanka needed to score at over 850 RPO from the word go but got off to a disastrous start, losing Pathum Nissanka for a 3-ball duck in the second over itselfAs Marco Jansen knocked over Nissanka third-ball, the Lankans were pushed into the corner right at the start of the chaseHowever, Kusal Mendis played a sizzling counterattacking knock, delighting the fans inside the stadiumAs Mendis fired a 25-ball fifty, the top-order batter declared that he was going all-inWhile his partner Kusal Perera looked out of sorts, Mendis dealt in boundaries -- slamming 4 fours and 8 sixes on his way to an attractive 42-ball 76But at the other end, Sri Lanka were not able to get the runs as quickly as they needed as the scoreboard pressure kept buildingAs Mendis waged a lone battle, Perera departed for 7 (15) in the 8th over becoming Jansen's second victimThe high-flying knock from Mendis was then ended by Kagiso Rabada in the 13th over after a brief recovery as the Lankans slipped in chase after crossing the 100-run markAsalanka and Shanaka fights in vainThe Mendis blow was soon followed by Sadeera Samarawickrama's dismissal as Sri Lanka slipped to 111 for 4 in the 14th overWith the Lankans tottering, it looked like South Africa would wrap up the game pretty quickly but then Dhananjaya de Silva and Charith Asalanka put up a brief recovery with a 39-run partnershipHowever in the 21st over, Keshav Maharaj got rid of Dhananjaya as the Lankans were 150 for fiveWith not much left to lose, Asalanka and Dasun Shanaka gave everything they had into the chaseTaking on the Proteas bowlers, both dealt in boundaries, adding a solid 82 runs for the sixth wicketAlthough the target was still quite far but the Asalanka-Shanaka stand ensured that the defeat margin was not an embarrassing one for their sideAfter Asalanka fell for 79 in the 32nd over and Dunith Wellalage (0) and Dasun Shanaka (68) followed him soon as South Africa tightened their grip in the contestKasun Rajitha (33) too hit a few lusty blows towards the end but Gerald Coetzee and Rabada eventually wrapped up the game in the 45th over",1
"NEW DELHI: The multi-front attack byHamasonIsraelleft the entire nation — as well as the world — in a state of shock and surprise, as militants ran amok in several cities and took multiple hostages back to GazaTheunprecedented air, land and sea assault by Hamason Saturday morning is a result of ""colossal failure"" of Israel's intelligence, media reports and experts have saidIsrael has long held a strong reputation for its intelligence agencies, notably Shin Bet, responsible for domestic security, andMossad, its esteemed foreign intelligence serviceRead Also'We are being slaughtered': Israelis beg for help as Hamas militants barge into homesNEW DELHI: Dozens of Hamas militants on Saturday barged into Israeli cities and went on a slaughtering spree in an unprecedented escalation of the years-long conflictAt least 100 Israelis have been killed and over 500 injured in  the multi-front assaultWho is shadowy Hamas military leader Mohammed Deif and what is 'Operation Al-Aqsa Storm'?NEW DELHI: At least 100 Israelis and 200 Palestinians were killed after Hamas militants carried out a surprise multi-front attack on Israel on SaturdayIn a recorded message, the shadowy leader of Hamas’ military wing, Mohammed Deif, announced the start of what he called “Operation Al-Aqsa Storm”Despite that, during a major holiday, the country was caught off guard when over 2,000 rockets rained down on cities, accompanied by incursions from numerous fighters infiltrating the heavily fortified border at multiple locationsSo far, at least 100 Israelis have been declared dead in the assault while hundreds are woundedIsrael declares state of war as Hamas fire over 5,000 rocketsNotably, the all-out assault took place despite Israel having one of the strongest militaries in the region, security cameras at the border, personnel from both Shin Bet and Mossad in the field, state-of-the-art thermal imaging/motion sensors and even sophisticated border fencingThis has left experts baffled and have cast a big spotlight on the country's intelligenceFive Reasons Why Israel-Palestine War Originated and Became so Deadly | New Video of Hamas Attacks'False sense of security'According to PTI, some experts feel that Israel got so totally engrossed in countering Iran and in efforts to foil the Islamic Republic's nuclear programme that it ""neglected its own backyard""Jerusalem Post, a leading newspaper, said, “Gaza was on the back burner in terms of a sense of security threats because Iran-backed proxies have been increasing threats elsewhere” and gave details of the events unfolded over the last three-four years in the region which, it said, led to “Hamas in Gaza appeared isolated, unable to even get more funds from the usual sources, such as Qatar”“With Israeli normalisation agreements growing in the region, Hamas seemed to present an outdated ideology living in the pastThis seems to have lulled people into a false sense of security,” it pointed out'A colossal failure'Despite repeated warnings that a ceasefire with Hamas would potentially aid the organization and other Islamic groups in regaining their strength for future confrontations, Israel recently agreed to a ceasefire with HamasSome experts suggested that these warnings were overlooked due to domestic political constraintsHebrew media sources quoted unnamed officials who criticized both the political and military leadership for allowing Israel to be caught off guard once again, as reported in the Times of IsraelExplained: Who are Hamas and why they hate Israel, know in 190 secondsIn recent years, the Israeli Defense Forces (IDF) had assumed that Hamas was deterred from launching major attacks within Israel, fearing a robust Israeli response and the potential devastation it would bring to GazaHowever, it has become painfully evident that this assumption was misplacedEli Maron, the former head of the Israeli Navy told a new channel anchor, “All of Israel is asking itself: Where is the IDF, where is the police, where is the security? It's a colossal failure; the hierarchies have simply failed, with vast consequences”Echoes ofYom KippurWarThe Times of Israel also quoted Amos Yadlin, a former IDF intelligence chief, as saying, (the attack) invokedechoes of the Yom Kippur War— another attack marked by “intelligence failure,” with the enemy initiating conflictFor scores of Israelis, Saturday's deadly infiltration immediately revived painful memories of the October 1973 war practically 50 years to the day, in which Israel's enemies had launched a surprise attack on Yom Kippur, the holiest day in Judaism“It cannot be understated or put in less severe terms: The IDF, the strongest military in the Middle East and one of the most respected worldwide was caught completely by surprise in the Hamas attack on Israel on Saturday,” screamed YNetNews, a leading portalIsrael-Hamas War: This is what PM Narendra Modi said to Benjamin Netanyahu and Israel“All military intelligence estimations until the early morning hours, were that the Hamas terror group was deterred and uninterested in war spreading to GazaAccordingly, the IDF reduced its troop deployment in the south, moving forces to the West Bank where a terror wave has been ongoing,” it addedBBC, in an analysis, pointed out: “With the combined efforts of Shin Bet, Israeli domestic intelligence, Mossad, its external spy agency and all the assets of theIsrael DefenceForces, it is frankly astounding that nobody saw this coming”“Or if they did, they failed to act on it,” it said, listing Israel's capabilities ranging from informants' network, drone attack strikes, and precision assassinations among others, and then added, “To prepare for and carry out such a coordinated, complex attack involving the stockpiling and firing of thousands of rockets, right under the noses of the Israelis, must have taken extraordinary levels of operational security by Hamas”Some experts are also blaming it on the internal divide within Israel in view of the judicial overhaul plan initiated by the government that has led to massive calls for boycott, depleting strength in positions(With inputs from PTI)WatchIsrael Under Attack: Hamas fires 5000 rockets in 20 minutes | Israel begins 'Operation Iron Swords'",1
"NEW DELHI: Indian athletes have achieved an impressive milestone of 107 medals at theAsian Gamesthrough their unwavering dedication and hard work over the past two weeksThis achievement not only serves as an early Diwali gift to the nation but also holds the promise of a historic harvest at the2024 Paris OlympicsChirag Shetty is Rafael Nadal, he never gives up: Satwiksairaj RankireddyAs India concludes its participation in this continental showcase on Saturday, with no Indian athletes competing in the final events scheduled for Sunday, the tally of 107 medals will be cherished in the collective memory of the nation until athletes have the opportunity to reset it in Aichi-Nagoya, Japan in 2026In Hangzhou, India's final medal count comprises 28 gold, 38 silver, and 41 bronze medals, a remarkable leap from the 70 medals the contingent secured in Jakarta in 2018India complete 100 medals at Asian Games 2023The total had reached 95 medals on Friday, with a few more assured medals to come on SaturdaySurprisingly, Indian athletes added 12 more medals on the last day of their campaign, including six gold, four silver, and two bronze medalsIf celebrated Indian grapplerBajrang Puniabowed out without a whimper leaving the country in shock on Friday evening, the smashing Indian men's badminton pair ofSatwiksairaj RankireddyandChirag Shettybrought tons of cheers to the contingent on Saturday afternoon, while the men's and women's kabaddi teams regained their pride of place after slipping in 2018 JakartaA controversy in the final against Iran apart, the Pawan Sehrawat-led men's kabaddi team was simply on fire, while young archer Ojas Deotale and Abhishek Verma made it a gold-silver finish in the compound men's individual eventArcher Jyothi Vennam too had her golden moment on the country's final day of competition, taking the top podium finish in individual women's compound event and show the continental giants in the sport, South Korea, that India had well and truly arrived on the sceneThe men's and women's chess teams finally provided the silver lining to the country's campaign later in the day as India had the fourth-best tally behind China, Japan and South KoreaIndia's fourth position is unlikely to change as fifth-placed Uzbekistan has 20 gold as compared to India's 28On the back of a splendid show by the shooters (22) and track and field athletes (29 medals), who contributed 51 medals, India had already surpassed its best-ever show on Wednesday this weekThe Indian contingent won many surprise medals, the biggest being a women's table tennis team bronze by Sutirtha Mukherjee and Ayhika Mukherjee, who humbled the mighty China in the semifinalsParul Chaudhary's sensational dash in the last 30 metres of the women's 5000m event will also be remembered for a long time as the Meerut runner snatched a gold by edging Japan's Ririka Hironaka in a close finishJavelin thrower Kishore Kumar Jena's astonishing 8677m throw that gave him lead over superstar Neeraj Chopra for a brief period in the men's javelin event was another unforgettable momentLater Chopra won the gold, while Jena finished behind him to settle for a silver medalCanoers Arjun Singh and Sunil Singh Salam's historic bronze in the men's double 1000m along with Ram Baboo and Manju Rani's third place finish in the mixed 35km race walk were perfect examples that if athletes refuse to bow down to the hardships life throws, excelling in sports is possible(With PTI Inputs)",1
"BENGALURU: At least 12 men were charred to death after an accidental fire broke out in a firecracker godown inAttibele, Anekal Bengaluru district on Saturday eveningThe incident took place around 430 pm when crackers were being unloaded from a goods vehicle into the godown located on Attibele main road and owned by one Ramaswamy ReddySuddenly, the crackers exploded and in no time, fire broke out, gutting the crackers-filled boxes and extending into other parts of godownFour vehicles, parked at the godown door, were too guttedFive fire tenders were pressed into the service and the blaze was brought to control by 730 pmLoud noise of crackers bursting and their lights was visible for nearly one kilometreAddressing the media, Superintendent of police-Bengaluru district Mallikarjun Baldandi confirmed that at least 10 men were charred to death in the accident""We are told that there were at least 20 workers inside the godown when the fire broke outAround five to seven men came out running and saved themselvesRest of them, we have to find outWe are in the process of identifying the charred bodies,"" he saidThree patients have been admitted to St John’s Hospital, BengaluruThe accident has left two of them with around 50% burns, Dr Arvind Kasthuri, chief of medical services at St John’s Medical College Hospital, Bengaluru told TOI“ They are seriously illThey have been intubated and will be heading for the ICU,” he saidAnother patient who suffered 15% burns is also under treatment at St John’s HospitalDr Ramesh KT, head, Department of Plastic Surgery at Victoria Hospital told TOI that one of the victims admitted to the hospital suffers 40% burns“As of now, he is stable,” he said",1
"NEW DELHI: At least 100 Israelis and 200 Palestinians were killed afterHamasmilitants carried out a surprise multi-front attack onIsraelon SaturdayIn a recorded message, the shadowy leader of Hamas’ military wing,Mohammed Deif, announced the start of what he called “OperationAl-Aqsa Storm” “Enough is enough,” he said in the message, as he called on Palestinians from east Jerusalem to northern Israel to join the fight“Today the people are regaining their revolution""""Hamas will pay the price…” Israeli Envoy Kobbi Shoshani vows to avenge rocket attacks on Tel AvivDeif's message was posted on social media and was the first time he spoke publicly since May 2021, when he warned Israel of a ""heavy price"" if it did not meet Hamas's demands over JerusalemHere is what we know about Mohammed Deif:Mohammed Deif is the supreme military commander of Izz ad-Din al-Qassam Brigades, the military wing of Hamas, a Palestinian Islamist group that controls the Gaza StripHe is one of Israel's most-wanted men and has survived at least seven reported assassination attempts by the Israeli forcesHe is also known as ""the guest"" because of his nomadic lifestyle and elusive natureDeif was born in 1965 in Khan Yunis refugee camp in Gaza, when the territory was occupied by EgyptHe joined Hamas in the late 1980s and became involved in the kidnappings and killings of Israeli soldiersHe rose to prominence within the Qassam Brigades and became its leader in 2002 after the previous leader, Salah Shehade, was killed by an Israeli airstrikeIsrael-Hamas War: PM Narendra Modi's Message to Israel and Benjamin Netanyahu after Hamas AttackDeif has been in hiding for more than two decades and is believed to be paralyzed after suffering severe injuries in multiple Israeli attacksThe most recent attempt on his life was in 2014, when an Israeli airstrike killed his wife and infant son, according to HamasDeif has rarely appeared or spoken in public, and his voice was last heard in May 2021, when he warned Israel of a ""heavy price"" if it did not meet Hamas's demands over JerusalemIn 2009, Deif was designated a terrorist by the United StatesThe US State Department has described him as a ""key figure in Hamas' military wing"" and accused him of being responsible for ""numerous terrorist attacks against Israeli civilians""Deif is considered a skilled commander and a mastermind of Hamas's military strategy, which includes the use of rockets, tunnels, drones, and suicide bombers against IsraelWatchWatch: Israel's Security Cabinet makes big decision on Hamas and Gaza, here is what PM Netanyahu said",1
"NEW DELHI: Dozens ofHamasmilitants on Saturday barged into Israeli cities and went on a slaughtering spree in an unprecedented escalation of the years-long conflictAt least 100 Israelis have been killed and over 500 injured inthe multi-front assaultthat began on Saturday morningLive updates: Israel-Palestine conflictIsraeli newspaper Haaretz reported that Israelis living in the south are ""begging"" the army to send security forces, saying they are desperate for helpRead AlsoIsrael-Palestine conflict: What we know so farThe conflict began with multiple rocket launches from different locations in the Palestinian territory, followed by air raid sirens across southern and central IsraelIndia stands in solidarity with Israel at this difficult hour, says PM Modi after Hamas attackPrime Minister Narendra Modi on Saturday expressed solidarity with Israel after Hamas militants launched an attack on the countryModi condemned it as ""terrorist attacks"" in Israel as its leader Benjamin Netanyahu said the country is at war""Deeply shocked by the news of terrorist attacks in Israel“We are being slaughteredThere is no armyIt has been 6 hours,” one Israeli in a southern Kibbutz was quoting as saying“People are begging for their lives,” the individual saidA Tel Aviv resident said that militants barged into her sister's home and that she is unable to reach her sinceShe added that despite many casualties in Kibbutz, police or Israeli army forces were nowhere to be seenThe comments echoed mounting criticism by Israelis about the absence of security forces even hours after the infiltrations took placeAccording to a New York Post report, a Palestinian journalist who managed to enterIsraelduring the attack said that Hamas members have “infiltrated two of the most important kibbutzim” in southern Israel: Nir Oz and Nir AmAccording to the journalist, the militants tried to kidnap Israeli civilians and soldiers into the Gaza StripResidents of the southern Bedouin city of Rahat were in a state of fear as they appeared to be in the frontlines of rocket fire and terrorist infiltration, the report said“There are maybe 10 shelters here in all of RahatI asked for 50 protective shield in the previous round of rockets, they brought me two,"" Mayor Ata Abu Mediam told local mediaMeanwhile, Hamas leader Saleh Al-Arouri has said that they have captured enough Israelis, including senior leaders, to force Israel to free all Palestinian prisonersAfter the attack by Hamas militants, Israeli Prime Minister Benjamin Netanyahu delcared that his country is in a state of warWatchVideo: Watch Gaza in ashes as Palestinians say at least 198 killed in Israeli retaliation",1
"NEW DELHI: Occasional roadblocks will only help our startup ecosystem mature and come of age, Commerce minister Piyush Goyal said while talking about concerns over waning fund flow in the sectorWhile speaking at the ninth edition of TheEconomic Times Startup Awards(ETSA) in Bengaluru on Saturday, Goyal responded to worries among young entrepreneurs regarding waning fund flow in the startup sector, often referred to as a 'funding winter'Read AlsoWorld now recognises future of technology will be shaped by Indian entrepreneurs: MoS IT Rajeev ChandrashekharNEW DELHI: Over the last 5-6 years, the capabilities of young Indians and their startups has become unquestionable among global investors, minister of state for IT Rajeev Chandrashekhar said on Saturday while speaking at the ninth edition of The Economic Times Startup Awards (ETSA) in Bengaluru""I look at this period as a time when our startups will come of ageWe will see a churn in the industry but cash flows and profits are finally becoming relevantMy business experience says that whenever you have too much cash you tend to make mistakes, a little tight-fisted environment will always be good for those running a businessYou will manage money better and control expensesOccasional roadblocks will only help our startup ecosystem mature,"" he said",1
"NEW DELHI: US officials fear that the escalating dispute between India and Canada can have major implications for America’sIndo-Pacificstrategy, which seeks to counter China's increasing assertiveness in the regionThis is one of the reasonswhy US President Joe Biden has avoided speaking up on the issuedespite Canada's serious allegations against IndiaNumerous US officials told AP that there's a fear — which is a worst-case scenario — that the dispute will escalate in the same way that Britain's row withRussiadid over the poisoning of former Russian spy Sergei Skripal and his daughter in Salisbury, England, in 2018Read Also'You seem to be alone': Canada PM Justin Trudeau faces cold reality as he takes on IndiaTrudeau has been facing isolation and lack of support from his allies in the diplomatic spat with IndiaWhile Trudeau accused India of being involved in the murder of a Khalistani terrorist, his allies in the Five Eyes intelligence alliance have provided only lukewarm supportThe US has avoidedAfter Britain accused Russia of carrying out an assassination attempt on its soil, it expelled as many as 23 diplomats from the countryNotably, it also sought similar action from its Nato allies and European partners, including USMost of the countries agreed to take a similar actionUS ended up expelling 60 Russian diplomats and ordered the closure of Russia's consulate in Seattle in solidarity with its British allyRussia responded with reciprocal actionsAccording to AP, officials fear that if Canada asks US to take a similar action against India, Washington will have little choice but to comply""That, in turn, could lead to a rupture in US-Indian relations and the possibility that India might either narrow its cooperation with the Quad or drop out entirely,"" the report saidQuad is a four-nation strategic group comprising US, India, Japan and Australia and seen as a counterbalance to China's increasing influence in the Indo-PacificFor now, the India-Canada conflict hasn't reached the tipping pointHowever, officials fear that could still change“I’m not saying we're at the danger zone yetBut it is a situation I would certainly be watching,"" Danny Russel, a former senior diplomat in President Barack Obama’s administration, told APAlready, ties between India and Canada have plunged to a historic low just days after Prime MinisterJustin Trudeaualleged that Indian agents were involved in the killing of Khalistani terrorist Hardeep Singh Nijjar on Canadian soilIndia vehemently denied the allegations as ""absured"" and has since asked Canada to remove 41 of its 62 diplomats in the country, ramping up the confrontationThough Trudeau has appeared to try to calm the diplomatic clash, saying that Canada is “not looking to provoke or escalate,"" officials said the concern in Washington persistsSo far, Trudeau has not received the kind of support he was expecting from his Western allies, especially the USIn fact, Washington's response has been far more tepid than what it was during the 2018 Britain-Russia diplomatic rowIndia asks Canada to repatriate 41 diplomats by October 10Observers said that Washington is trying to keep a safe distance from the ""bilateral dispute"" between the two countries as it wants to avoid spoiling its ties with IndiaNot does it want to snub its Nato ally CanadaFor now, it appears to be a tightrope walk for the Biden administration which will closely monitor how the bilaterial dispute unfolds(With inputs from AP)WatchNot trying to escalate tensions, want to be on ground in India to help Canadian families: Justin Trudeau",1
